Species	Assembly Accession	Order	Superfamily	Te	Score
Pardosa pseudoannulata	GCA_032207245.1	Araneae	Lycosoidea	P-element	0.008731362610529432
Pardosa pseudoannulata	GCA_032207245.1	Araneae	Lycosoidea	Shellder	0.008380824673147838
Uloborus diversus	GCF_026930045.1	Araneae	Deinopoidea	Spoink	0.010107456050063815
Uloborus diversus	GCF_026930045.1	Araneae	Deinopoidea	P-element	0.015353879166820822
Uloborus diversus	GCF_026930045.1	Araneae	Deinopoidea	Shellder	0.005849815621857191
Amaurobius ferox	GCA_951213105.1	Araneae	Amaurobiidae	Spoink	0.009057598089670221
Amaurobius ferox	GCA_951213105.1	Araneae	Amaurobiidae	P-element	0.010692219467978837
Amaurobius ferox	GCA_951213105.1	Araneae	Amaurobiidae	Shellder	0.008112638283607107
Argiope bruennichi	GCF_947563725.1	Araneae	Araneoidea	Shellder	0.007207509218907141
Argiope bruennichi	GCF_947563725.1	Araneae	Araneoidea	Spoink	0.008069496479888015
Argiope bruennichi	GCF_947563725.1	Araneae	Araneoidea	P-element	0.00928632209848681
Hylyphantes graminicola	GCA_023701765.1	Araneae	Araneoidea	P-element	0
Hylyphantes graminicola	GCA_023701765.1	Araneae	Araneoidea	Shellder	0.009101575595038552
Hylyphantes graminicola	GCA_023701765.1	Araneae	Araneoidea	Spoink	0.006710856766437482
Latrodectus elegans	GCA_030067965.1	Araneae	Araneoidea	Shellder	0.006185048608783104
Latrodectus elegans	GCA_030067965.1	Araneae	Araneoidea	Spoink	0.006216805961546379
Latrodectus elegans	GCA_030067965.1	Araneae	Araneoidea	P-element	0
Meta bourneti	GCA_933210815.1	Araneae	Araneoidea	Spoink	0.00911935444028161
Meta bourneti	GCA_933210815.1	Araneae	Araneoidea	Shellder	0.007525980556486758
Meta bourneti	GCA_933210815.1	Araneae	Araneoidea	P-element	0.008324392319360687
Metellina segmentata	GCA_947359465.1	Araneae	Araneoidea	P-element	0
Metellina segmentata	GCA_947359465.1	Araneae	Araneoidea	Shellder	0.006956084478712705
Metellina segmentata	GCA_947359465.1	Araneae	Araneoidea	Spoink	0.01074560500638149
Oedothorax gibbosus	GCA_019343175.1	Araneae	Araneoidea	Shellder	0.0062688568555145825
Oedothorax gibbosus	GCA_019343175.1	Araneae	Araneoidea	P-element	0
Oedothorax gibbosus	GCA_019343175.1	Araneae	Araneoidea	Spoink	0.005928609658693236
Parasteatoda lunata	GCA_949128135.1	Araneae	Araneoidea	P-element	0.010766214066373155
Parasteatoda lunata	GCA_949128135.1	Araneae	Araneoidea	Spoink	0.009222281691300589
Parasteatoda lunata	GCA_949128135.1	Araneae	Araneoidea	Shellder	0.007525980556486758
Tetragnatha montana	GCA_963680715.1	Araneae	Araneoidea	P-element	0.00906433830330386
Tetragnatha montana	GCA_963680715.1	Araneae	Araneoidea	Spoink	0.00666968586602989
Tetragnatha montana	GCA_963680715.1	Araneae	Araneoidea	Shellder	0.007660073751257124
Blomia tropicalis	GCA_029204025.1	Sarcoptiformes	Glycyphagoidea	Shellder	0.005849815621857191
Blomia tropicalis	GCA_029204025.1	Sarcoptiformes	Glycyphagoidea	P-element	0
Blomia tropicalis	GCA_029204025.1	Sarcoptiformes	Glycyphagoidea	Spoink	0.007925398328461444
Sarcoptes scabiei	GCA_020844145.1	Sarcoptiformes	Sarcoptoidea	P-element	0
Sarcoptes scabiei	GCA_020844145.1	Sarcoptiformes	Sarcoptoidea	Spoink	0.0056815842562476845
Sarcoptes scabiei	GCA_020844145.1	Sarcoptiformes	Sarcoptoidea	Shellder	0.005766007375125713
Cordylochernes scorpioides	GCA_030710605.1	Pseudoscorpiones	Cheliferoidea	P-element	0.00847238151614932
Cordylochernes scorpioides	GCA_030710605.1	Pseudoscorpiones	Cheliferoidea	Spoink	0.013709909835728108
Cordylochernes scorpioides	GCA_030710605.1	Pseudoscorpiones	Cheliferoidea	Shellder	0.007576265504525646
Carcinoscorpius rotundicauda	GCA_011833715.1	Xiphosura	Limulidae	Shellder	0.006252095206168287
Carcinoscorpius rotundicauda	GCA_011833715.1	Xiphosura	Limulidae	Spoink	0.008481205483963934
Carcinoscorpius rotundicauda	GCA_011833715.1	Xiphosura	Limulidae	P-element	0.008879351807318065
Tachypleus tridentatus	GCA_004210375.1	Xiphosura	Limulidae	Spoink	0.008995841739058832
Tachypleus tridentatus	GCA_004210375.1	Xiphosura	Limulidae	Shellder	0.008850150854844117
Tachypleus tridentatus	GCA_004210375.1	Xiphosura	Limulidae	P-element	0.008990343704909542
Sacculina carcini	GCA_916048095.2	Thecostraca	Sacculinidae	Spoink	0.006484416814195726
Sacculina carcini	GCA_916048095.2	Thecostraca	Sacculinidae	P-element	0
Sacculina carcini	GCA_916048095.2	Thecostraca	Sacculinidae	Shellder	0.009671471672812605
Morinoia aosen	GCA_030386875.1	Amphipoda	Talitroidea	Shellder	0.00918538384177003
Morinoia aosen	GCA_030386875.1	Amphipoda	Talitroidea	P-element	0
Morinoia aosen	GCA_030386875.1	Amphipoda	Talitroidea	Spoink	0.008481205483963934
Artemia franciscana	GCA_032884065.1	Anostraca	Artemiidae	Spoink	0.005352217052986948
Artemia franciscana	GCA_032884065.1	Anostraca	Artemiidae	P-element	0
Artemia franciscana	GCA_032884065.1	Anostraca	Artemiidae	Shellder	0.00507877975192759
Artemia sinica	GCA_027921565.1	Anostraca	Artemiidae	Spoink	0.005331631602783153
Artemia sinica	GCA_027921565.1	Anostraca	Artemiidae	P-element	0.008694365311332273
Artemia sinica	GCA_027921565.1	Anostraca	Artemiidae	Shellder	0.006252095206168287
Callinectes sapidus	GCA_020233015.1	Decapoda	Portunoidea	P-element	0.0094343112952754455
Callinectes sapidus	GCA_020233015.1	Decapoda	Portunoidea	Spoink	0.00646383136399193
Callinectes sapidus	GCA_020233015.1	Decapoda	Portunoidea	Shellder	0.011532014750251425
Portunus trituberculatus	GCF_017591435.1	Decapoda	Portunoidea	Spoink	0.0070402239696982175
Portunus trituberculatus	GCF_017591435.1	Decapoda	Portunoidea	Shellder	0.011984579282601408
Portunus trituberculatus	GCF_017591435.1	Decapoda	Portunoidea	P-element	0.00906433830330386
Scylla paramamosain	GCA_035594125.1	Decapoda	Portunoidea	P-element	0.008731362610529432
Scylla paramamosain	GCA_035594125.1	Decapoda	Portunoidea	Shellder	0.01151525310090513
Scylla paramamosain	GCA_035594125.1	Decapoda	Portunoidea	Spoink	0.00732842027255136
Eriocheir sinensis	GCF_024679095.1	Decapoda	Grapsoidea	Shellder	0.011481729802212537
Eriocheir sinensis	GCF_024679095.1	Decapoda	Grapsoidea	Spoink	0.006649100415826094
Eriocheir sinensis	GCF_024679095.1	Decapoda	Grapsoidea	P-element	0.01749972252025602
Procambarus clarkii	GCF_020424385.1	Decapoda	Astacoidea	P-element	0.008435384216952162
Procambarus clarkii	GCF_020424385.1	Decapoda	Astacoidea	Shellder	0.010593362386858866
Procambarus clarkii	GCF_020424385.1	Decapoda	Astacoidea	Spoink	0.00881057268722467
Cherax quadricarinatus	GCF_026875155.1	Decapoda	Parastacoidea	Spoink	0.008872329037836057
Cherax quadricarinatus	GCF_026875155.1	Decapoda	Parastacoidea	Shellder	0.011213543412671808
Cherax quadricarinatus	GCF_026875155.1	Decapoda	Parastacoidea	P-element	0.0090273410041067
Coenobita brevimanus	GCA_032717465.1	Decapoda	Paguroidea	Spoink	0
Coenobita brevimanus	GCA_032717465.1	Decapoda	Paguroidea	Shellder	0.009151860543077438
Coenobita brevimanus	GCA_032717465.1	Decapoda	Paguroidea	P-element	0
Paralithodes platypus	GCA_032716605.1	Decapoda	Paguroidea	Shellder	0.011029165269862555
Paralithodes platypus	GCA_032716605.1	Decapoda	Paguroidea	P-element	0.009508305893669761
Paralithodes platypus	GCA_032716605.1	Decapoda	Paguroidea	Spoink	0.008378278232944954
Macrobrachium nipponense	GCA_015110555.1	Decapoda	Palaemonoidea	Shellder	0.008649011062688568
Macrobrachium nipponense	GCA_015110555.1	Decapoda	Palaemonoidea	Spoink	0.00911935444028161
Macrobrachium nipponense	GCA_015110555.1	Decapoda	Palaemonoidea	P-element	0.012357097931850974
Penaeus chinensis	GCF_019202785.1	Decapoda	Penaeoidea	Spoink	0.007493103874181728
Penaeus chinensis	GCF_019202785.1	Decapoda	Penaeoidea	Shellder	0.010459269192088502
Penaeus chinensis	GCF_019202785.1	Decapoda	Penaeoidea	P-element	0.008398386917755005
Penaeus monodon	GCF_015228065.2	Decapoda	Penaeoidea	P-element	0
Penaeus monodon	GCF_015228065.2	Decapoda	Penaeoidea	Spoink	0.00784305652764626
Penaeus monodon	GCF_015228065.2	Decapoda	Penaeoidea	Shellder	0.011364398256788468
Daphnia carinata	GCF_022539665.2	Diplostraca	Daphniidae	Spoink	0.010375066902713162
Daphnia carinata	GCF_022539665.2	Diplostraca	Daphniidae	Shellder	0.009101575595038552
Daphnia carinata	GCF_022539665.2	Diplostraca	Daphniidae	P-element	0.009101335602501018
Daphnia galeata	GCA_030770115.1	Diplostraca	Daphniidae	Shellder	0.007928260140797854
Daphnia galeata	GCA_030770115.1	Diplostraca	Daphniidae	P-element	0
Daphnia galeata	GCA_030770115.1	Diplostraca	Daphniidae	Spoink	0.007904812878257648
Daphnia magna	GCF_020631705.1	Diplostraca	Daphniidae	Spoink	0.00819300918111079
Daphnia magna	GCF_020631705.1	Diplostraca	Daphniidae	P-element	0
Daphnia magna	GCF_020631705.1	Diplostraca	Daphniidae	Shellder	0.008179684880992289
Daphnia pulex	GCF_021134715.1	Diplostraca	Daphniidae	Shellder	0.007241032517599732
Daphnia pulex	GCF_021134715.1	Diplostraca	Daphniidae	Spoink	0.007822471077442463
Daphnia pulex	GCF_021134715.1	Diplostraca	Daphniidae	P-element	0
Daphnia pulicaria	GCF_021234035.1	Diplostraca	Daphniidae	Shellder	0.008263493127723768
Daphnia pulicaria	GCF_021234035.1	Diplostraca	Daphniidae	P-element	0.008731362610529432
Daphnia pulicaria	GCF_021234035.1	Diplostraca	Daphniidae	Spoink	0.00881057268722467
Daphnia sinensis	GCA_013167095.2	Diplostraca	Daphniidae	Spoink	0.0074519329737741365
Daphnia sinensis	GCA_013167095.2	Diplostraca	Daphniidae	Shellder	0.008498156218571907
Daphnia sinensis	GCA_013167095.2	Diplostraca	Daphniidae	P-element	0
Tigriopus californicus	GCF_007210705.1	Harpacticoida	Harpacticidae	P-element	0
Tigriopus californicus	GCF_007210705.1	Harpacticoida	Harpacticidae	Shellder	0.010274891049279249
Tigriopus californicus	GCF_007210705.1	Harpacticoida	Harpacticidae	Spoink	0.007493103874181728
Tigriopus japonicus	GCA_010645155.1	Harpacticoida	Harpacticidae	Shellder	0.008581964465303385
Tigriopus japonicus	GCA_010645155.1	Harpacticoida	Harpacticidae	P-element	0
Tigriopus japonicus	GCA_010645155.1	Harpacticoida	Harpacticidae	Spoink	0.006484416814195726
Capitulum mitella	GCA_030062745.1	Pollicipedomorpha	Pollicipedidae	Spoink	0
Capitulum mitella	GCA_030062745.1	Pollicipedomorpha	Pollicipedidae	Shellder	0.007391887361716393
Capitulum mitella	GCA_030062745.1	Pollicipedomorpha	Pollicipedidae	P-element	0
Strigamia acuminata	GCA_949358305.1	Geophilomorpha	Linotaeniidae	P-element	0.008694365311332273
Strigamia acuminata	GCA_949358305.1	Geophilomorpha	Linotaeniidae	Shellder	0.007039892725444184
Strigamia acuminata	GCA_949358305.1	Geophilomorpha	Linotaeniidae	Spoink	0.006134464160731195
Allacma fusca	GCA_947179485.1	Symphypleona	Sminthuridae	Shellder	0.008313778075762656
Allacma fusca	GCA_947179485.1	Symphypleona	Sminthuridae	Spoink	0.007410762073366544
Allacma fusca	GCA_947179485.1	Symphypleona	Sminthuridae	P-element	0.008546376114543638
Tomocerus qinae	GCA_020055645.1	Entomobryomorpha	Tomoceroidea	P-element	0.009360316696881128
Tomocerus qinae	GCA_020055645.1	Entomobryomorpha	Tomoceroidea	Shellder	0.0064532349983238355
Tomocerus qinae	GCA_020055645.1	Entomobryomorpha	Tomoceroidea	Spoink	0.007266663921939973
Yoshiicerus persimilis	GCA_020352615.2	Entomobryomorpha	Tomoceroidea	P-element	0.010026268082429983
Yoshiicerus persimilis	GCA_020352615.2	Entomobryomorpha	Tomoceroidea	Shellder	0.005883338920549782
Yoshiicerus persimilis	GCA_020352615.2	Entomobryomorpha	Tomoceroidea	Spoink	0.00666968586602989
Entomobrya proxima	GCA_029691765.1	Entomobryomorpha	Entomobryoidea	P-element	0.01061822486958452
Entomobrya proxima	GCA_029691765.1	Entomobryomorpha	Entomobryoidea	Shellder	0.006721421387864566
Entomobrya proxima	GCA_029691765.1	Entomobryomorpha	Entomobryoidea	Spoink	0.007719543826423484
Sinella curviseta	GCA_004115045.4	Entomobryomorpha	Entomobryoidea	Shellder	0.006604089842440496
Sinella curviseta	GCA_004115045.4	Entomobryomorpha	Entomobryoidea	P-element	0
Sinella curviseta	GCA_004115045.4	Entomobryomorpha	Entomobryoidea	Spoink	0.008007740129276627
Siphlonurus alternatus	GCA_949825025.1	Ephemeroptera	Siphlonuridae	P-element	0.009767286988049873
Siphlonurus alternatus	GCA_949825025.1	Ephemeroptera	Siphlonuridae	Shellder	0.0064532349983238355
Siphlonurus alternatus	GCA_949825025.1	Ephemeroptera	Siphlonuridae	Spoink	0.0062991477623615625
Ecdyonurus torrentis	GCA_949318235.1	Ephemeroptera	Heptageniidae	Spoink	0.008131252830499402
Ecdyonurus torrentis	GCA_949318235.1	Ephemeroptera	Heptageniidae	P-element	0
Ecdyonurus torrentis	GCA_949318235.1	Ephemeroptera	Heptageniidae	Shellder	0.011230305062018102
Cloeon dipterum	GCA_949628265.1	Ephemeroptera	Baetidae	Shellder	0.0055313442842775725
Cloeon dipterum	GCA_949628265.1	Ephemeroptera	Baetidae	P-element	0
Cloeon dipterum	GCA_949628265.1	Ephemeroptera	Baetidae	Spoink	0.004858166248095846
Pantala flavescens	GCA_020796165.1	Odonata	Cavilabiata	P-element	0.008953346405712383
Pantala flavescens	GCA_020796165.1	Odonata	Cavilabiata	Spoink	0.006278562312157767
Pantala flavescens	GCA_020796165.1	Odonata	Cavilabiata	Shellder	0.007827690244720081
Sympetrum striolatum	GCA_947579665.1	Odonata	Libellulidae	P-element	0
Sympetrum striolatum	GCA_947579665.1	Odonata	Libellulidae	Shellder	0.00829701642641636
Sympetrum striolatum	GCA_947579665.1	Odonata	Libellulidae	Spoink	0.015439087652846968
Tanypteryx hageni	GCA_028673005.1	Odonata	Petaluridae	Spoink	0.0061138787105274
Tanypteryx hageni	GCA_028673005.1	Odonata	Petaluridae	Shellder	0.009487093530003352
Tanypteryx hageni	GCA_028673005.1	Odonata	Petaluridae	P-element	0
Ceriagrion tenellum	GCA_963169105.1	Odonata	Coenagrionoidea	Spoink	0.007493103874181728
Ceriagrion tenellum	GCA_963169105.1	Odonata	Coenagrionoidea	P-element	0.008657368012135114
Ceriagrion tenellum	GCA_963169105.1	Odonata	Coenagrionoidea	Shellder	0.009906134763660744
Ischnura elegans	GCF_921293095.1	Odonata	Coenagrionoidea	Shellder	0.012185719074756957
Ischnura elegans	GCF_921293095.1	Odonata	Coenagrionoidea	Spoink	0.012310099221869982
Ischnura elegans	GCF_921293095.1	Odonata	Coenagrionoidea	P-element	0.008694365311332273
Platycnemis pennipes	GCA_933228895.1	Odonata	Coenagrionoidea	P-element	0.00932331939768397
Platycnemis pennipes	GCA_933228895.1	Odonata	Coenagrionoidea	Spoink	0.00794598377866524
Platycnemis pennipes	GCA_933228895.1	Odonata	Coenagrionoidea	Shellder	0.009721756620851492
Pyrrhosoma nymphula	GCA_963573305.1	Odonata	Coenagrionoidea	P-element	0.009397313996078287
Pyrrhosoma nymphula	GCA_963573305.1	Odonata	Coenagrionoidea	Spoink	0.014121618839804027
Pyrrhosoma nymphula	GCA_963573305.1	Odonata	Coenagrionoidea	Shellder	0.015403955749245725
Locusta migratoria	GCA_026315105.1	Orthoptera	Acridoidea	Shellder	0.014750251424740195
Locusta migratoria	GCA_026315105.1	Orthoptera	Acridoidea	P-element	0.01143216545192201
Locusta migratoria	GCA_026315105.1	Orthoptera	Acridoidea	Spoink	0.007101980320309605
Schistocerca americana	GCF_021461395.2	Orthoptera	Acridoidea	Spoink	0.00932520894231957
Schistocerca americana	GCF_021461395.2	Orthoptera	Acridoidea	Shellder	0.01476701307408649
Schistocerca americana	GCF_021461395.2	Orthoptera	Acridoidea	P-element	0.010470235672795886
Schistocerca cancellata	GCF_023864275.1	Orthoptera	Acridoidea	Shellder	0.011012403620516259
Schistocerca cancellata	GCF_023864275.1	Orthoptera	Acridoidea	Spoink	0.008172423730906994
Schistocerca cancellata	GCF_023864275.1	Orthoptera	Acridoidea	P-element	0.009952273484035665
Schistocerca gregaria	GCF_023897955.1	Orthoptera	Acridoidea	P-element	0.00984128158644419
Schistocerca gregaria	GCF_023897955.1	Orthoptera	Acridoidea	Shellder	0.011448206503519947
Schistocerca gregaria	GCF_023897955.1	Orthoptera	Acridoidea	Spoink	0.008295936432129771
Schistocerca nitens	GCF_023898315.1	Orthoptera	Acridoidea	Spoink	0.008666474535798097
Schistocerca nitens	GCF_023898315.1	Orthoptera	Acridoidea	P-element	0.01091420326316179
Schistocerca nitens	GCF_023898315.1	Orthoptera	Acridoidea	Shellder	0.015755950385517935
Schistocerca piceifrons	GCF_021461385.2	Orthoptera	Acridoidea	P-element	0.008398386917755005
Schistocerca piceifrons	GCF_021461385.2	Orthoptera	Acridoidea	Shellder	0.009084813945692256
Schistocerca piceifrons	GCF_021461385.2	Orthoptera	Acridoidea	Spoink	0.00839886368314875
Schistocerca serialis cubense	GCF_023864345.2	Orthoptera	Acridoidea	Spoink	0.00839886368314875
Schistocerca serialis cubense	GCF_023864345.2	Orthoptera	Acridoidea	Shellder	0.013861884009386524
Schistocerca serialis cubense	GCF_023864345.2	Orthoptera	Acridoidea	P-element	0.008916349106515224
Vandiemenella viatica	GCA_031002005.1	Orthoptera	Eumastacoidea	P-element	0.008657368012135114
Vandiemenella viatica	GCA_031002005.1	Orthoptera	Eumastacoidea	Shellder	0.016409654710023466
Vandiemenella viatica	GCA_031002005.1	Orthoptera	Eumastacoidea	Spoink	0.016962410967927867
Eucriotettix oculatus	GCA_034510155.1	Orthoptera	Tetrigoidea	P-element	0
Eucriotettix oculatus	GCA_034510155.1	Orthoptera	Tetrigoidea	Spoink	0
Eucriotettix oculatus	GCA_034510155.1	Orthoptera	Tetrigoidea	Shellder	0.02294669795507878
Meconema thalassinum	GCA_946902985.2	Orthoptera	Tettigonioidea	Spoink	0.007390176623162749
Meconema thalassinum	GCA_946902985.2	Orthoptera	Tettigonioidea	Shellder	0.01984579282601408
Meconema thalassinum	GCA_946902985.2	Orthoptera	Tettigonioidea	P-element	0.01091420326316179
Dryococelus australis	GCA_029891345.1	Phasmatodea	Phasmatidae	Shellder	0.0069896077774052965
Dryococelus australis	GCA_029891345.1	Phasmatodea	Phasmatidae	Spoink	0.00881057268722467
Dryococelus australis	GCA_029891345.1	Phasmatodea	Phasmatidae	P-element	0.009878278885641347
Isoperla grammatica	GCA_945910005.1	Plecoptera	Perloidea	Shellder	0.01077774052966812
Isoperla grammatica	GCA_945910005.1	Plecoptera	Perloidea	P-element	0.009212327500092493
Isoperla grammatica	GCA_945910005.1	Plecoptera	Perloidea	Spoink	0.005743340606859072
Brachyptera putata	GCA_907164805.1	Plecoptera	Nemouroidea	Shellder	0.00957090177673483
Brachyptera putata	GCA_907164805.1	Plecoptera	Nemouroidea	Spoink	0.0057845115072666636
Brachyptera putata	GCA_907164805.1	Plecoptera	Nemouroidea	P-element	0
Leuctra nigra	GCA_934045905.1	Plecoptera	Nemouroidea	Spoink	0.004961093499114826
Leuctra nigra	GCA_934045905.1	Plecoptera	Nemouroidea	P-element	0.00850937881534648
Leuctra nigra	GCA_934045905.1	Plecoptera	Nemouroidea	Shellder	0.008498156218571907
Nemoura dubitans	GCA_921293005.1	Plecoptera	Nemouroidea	P-element	0.011839135743090754
Nemoura dubitans	GCA_921293005.1	Plecoptera	Nemouroidea	Shellder	0.011632584646329198
Nemoura dubitans	GCA_921293005.1	Plecoptera	Nemouroidea	Spoink	0.004878751698299642
Nemurella pictetii	GCA_921293315.2	Plecoptera	Nemouroidea	Spoink	0.007369591172958953
Nemurella pictetii	GCA_921293315.2	Plecoptera	Nemouroidea	Shellder	0.007626550452564532
Nemurella pictetii	GCA_921293315.2	Plecoptera	Nemouroidea	P-element	0.0094343112952754455
Protonemura montana	GCA_947568835.1	Plecoptera	Nemouroidea	Shellder	0.008028830036875628
Protonemura montana	GCA_947568835.1	Plecoptera	Nemouroidea	P-element	0.0101002626808243
Protonemura montana	GCA_947568835.1	Plecoptera	Nemouroidea	Spoink	0.0070402239696982175
Labia minor	GCA_963082975.1	Dermaptera	Forficuloidea	Spoink	0.015315574951624193
Labia minor	GCA_963082975.1	Dermaptera	Forficuloidea	P-element	0.008398386917755005
Labia minor	GCA_963082975.1	Dermaptera	Forficuloidea	Shellder	0.025058665772712034
Metallyticus violacea	GCA_030762175.1	Mantodea	Metallyticoidea	P-element	0.00847238151614932
Metallyticus violacea	GCA_030762175.1	Mantodea	Metallyticoidea	Spoink	0.0061138787105274
Metallyticus violacea	GCA_030762175.1	Mantodea	Metallyticoidea	Shellder	0.010291652698625545
Hymenopus coronatus	GCA_030762935.1	Mantodea	Hymenopoidea	Spoink	0.009489892543949937
Hymenopus coronatus	GCA_030762935.1	Mantodea	Hymenopoidea	Shellder	0.009101575595038552
Hymenopus coronatus	GCA_030762935.1	Mantodea	Hymenopoidea	P-element	0.008879351807318065
Deroplatys truncata	GCA_030765065.1	Mantodea	Mantoidea	Shellder	0.006537043245055313
Deroplatys truncata	GCA_030765065.1	Mantodea	Mantoidea	P-element	0.00876835990972659
Deroplatys truncata	GCA_030765065.1	Mantodea	Mantoidea	Spoink	0.006690271316233686
Mantis religiosa	GCA_030765055.1	Mantodea	Mantoidea	P-element	0.009249324799289652
Mantis religiosa	GCA_030765055.1	Mantodea	Mantoidea	Spoink	0.00891349993824365
Mantis religiosa	GCA_030765055.1	Mantodea	Mantoidea	Shellder	0.01019108280254777
Tenodera sinensis	GCA_030765045.1	Mantodea	Mantoidea	Spoink	0.007966569228869035
Tenodera sinensis	GCA_030765045.1	Mantodea	Mantoidea	P-element	0.009767286988049873
Tenodera sinensis	GCA_030765045.1	Mantodea	Mantoidea	Shellder	0.010476030841434798
Gerris lacustris	GCA_951217055.1	Hemiptera	Gerroidea	Shellder	0.015554810593362388
Gerris lacustris	GCA_951217055.1	Hemiptera	Gerroidea	Spoink	0.016880069167112686
Gerris lacustris	GCA_951217055.1	Hemiptera	Gerroidea	P-element	0.011062192459950423
Gonocerus acuteangulatus	GCA_946811695.1	Hemiptera	Coreoidea	Spoink	0.0059903660093046235
Gonocerus acuteangulatus	GCA_946811695.1	Hemiptera	Coreoidea	P-element	0.00847238151614932
Gonocerus acuteangulatus	GCA_946811695.1	Hemiptera	Coreoidea	Shellder	0.010844787127053302
Riptortus pedestris	GCA_019009955.1	Hemiptera	Coreoidea	Spoink	0.005084606200337602
Riptortus pedestris	GCA_019009955.1	Hemiptera	Coreoidea	Shellder	0.01940998994301039
Riptortus pedestris	GCA_019009955.1	Hemiptera	Coreoidea	P-element	0
Acanthococcus lagerstroemiae	GCA_031841125.1	Hemiptera	Coccoidea	Spoink	0.008234180081518383
Acanthococcus lagerstroemiae	GCA_031841125.1	Hemiptera	Coccoidea	Shellder	0.00791149849145156
Acanthococcus lagerstroemiae	GCA_031841125.1	Hemiptera	Coccoidea	P-element	0.00906433830330386
Balanococcus diminutus	GCA_959613365.1	Hemiptera	Coccoidea	P-element	0
Balanococcus diminutus	GCA_959613365.1	Hemiptera	Coccoidea	Shellder	0.012772376801877304
Balanococcus diminutus	GCA_959613365.1	Hemiptera	Coccoidea	Spoink	0.008357692782741158
Coronaproctus castanopsis	GCA_032883995.1	Hemiptera	Coccoidea	Shellder	0.02038216560509554
Coronaproctus castanopsis	GCA_032883995.1	Hemiptera	Coccoidea	Spoink	0.005660998806043888
Coronaproctus castanopsis	GCA_032883995.1	Hemiptera	Coccoidea	P-element	0
Icerya purchasi	GCA_952773005.1	Hemiptera	Coccoidea	Shellder	0.01104592691920885
Icerya purchasi	GCA_952773005.1	Hemiptera	Coccoidea	Spoink	0.005928609658693236
Icerya purchasi	GCA_952773005.1	Hemiptera	Coccoidea	P-element	0.008731362610529432
Phenacoccus solenopsis	GCA_009761765.1	Hemiptera	Coccoidea	P-element	0.009397313996078287
Phenacoccus solenopsis	GCA_009761765.1	Hemiptera	Coccoidea	Spoink	0.013627568034912923
Phenacoccus solenopsis	GCA_009761765.1	Hemiptera	Coccoidea	Shellder	0.015873281930942004
Planococcus citri	GCA_950023065.1	Hemiptera	Coccoidea	P-element	0.00850937881534648
Planococcus citri	GCA_950023065.1	Hemiptera	Coccoidea	Spoink	0.00743134752357034
