TE	base	cov
spoink	326	0.519
spoink	327	0.496
spoink	328	0.496
spoink	329	0.496
spoink	330	0.496
spoink	331	0.496
spoink	332	0.496
spoink	333	0.496
spoink	334	0.496
spoink	335	0.474
spoink	336	0.474
spoink	337	0.474
spoink	338	0.474
spoink	339	0.451
spoink	340	0.429
spoink	341	0.429
spoink	342	0.429
spoink	343	0.429
spoink	344	0.406
spoink	345	0.451
spoink	346	0.361
spoink	347	0.361
spoink	348	0.361
spoink	349	0.361
spoink	350	0.361
spoink	351	0.361
spoink	352	0.338
spoink	353	0.338
spoink	354	0.338
spoink	355	0.361
spoink	356	0.383
spoink	357	0.361
spoink	358	0.361
spoink	359	0.361
spoink	360	0.361
spoink	361	0.361
spoink	362	0.361
spoink	363	0.338
spoink	364	0.361
spoink	365	0.361
spoink	366	0.361
spoink	367	0.361
spoink	368	0.361
spoink	369	0.361
spoink	370	0.361
spoink	371	0.406
spoink	372	0.383
spoink	373	0.383
spoink	374	0.383
spoink	375	0.383
spoink	376	0.383
spoink	377	0.383
spoink	378	0.429
spoink	379	0.451
spoink	380	0.406
spoink	381	0.406
spoink	382	0.406
spoink	383	0.406
spoink	384	0.406
spoink	385	0.429
spoink	386	0.429
spoink	387	0.406
spoink	388	0.406
spoink	389	0.406
spoink	390	0.406
spoink	391	0.406
spoink	392	0.406
spoink	393	0.406
spoink	394	0.383
spoink	395	0.383
spoink	396	0.383
spoink	397	0.361
spoink	398	0.338
spoink	399	0.338
spoink	400	0.361
spoink	401	0.361
spoink	402	0.361
spoink	403	0.361
spoink	404	0.383
spoink	405	0.406
spoink	406	0.383
spoink	407	0.383
spoink	408	0.383
spoink	409	0.429
spoink	410	0.429
spoink	411	0.429
spoink	412	0.429
spoink	413	0.429
spoink	414	0.429
spoink	415	0.429
spoink	416	0.429
spoink	417	0.429
spoink	418	0.451
spoink	419	0.496
spoink	420	0.451
spoink	421	0.496
spoink	422	0.496
spoink	423	0.496
spoink	424	0.496
spoink	425	0.496
spoink	426	0.496
spoink	427	0.474
spoink	428	0.451
spoink	429	0.474
spoink	430	0.451
spoink	431	0.451
spoink	432	0.451
spoink	433	0.474
spoink	434	0.474
spoink	435	0.496
spoink	436	0.496
spoink	437	0.496
spoink	438	0.474
spoink	439	0.451
spoink	440	0.451
spoink	441	0.451
spoink	442	0.451
spoink	443	0.451
spoink	444	0.496
spoink	445	0.496
spoink	446	0.474
spoink	447	0.474
spoink	448	0.474
spoink	449	0.474
spoink	450	0.496
spoink	451	0.519
spoink	452	0.519
spoink	453	0.474
spoink	454	0.451
spoink	455	0.451
spoink	456	0.451
spoink	457	0.451
spoink	458	0.451
spoink	459	0.519
spoink	460	0.519
spoink	461	0.519
spoink	462	0.519
spoink	463	0.519
spoink	464	0.564
spoink	465	0.564
spoink	466	0.564
spoink	467	0.586
spoink	468	0.586
spoink	469	0.586
spoink	470	0.586
spoink	471	0.586
spoink	472	0.586
spoink	473	0.586
spoink	474	0.609
spoink	475	0.586
spoink	476	0.609
spoink	477	0.632
spoink	478	0.632
spoink	479	0.609
spoink	480	0.609
spoink	481	0.654
spoink	482	0.699
spoink	483	0.699
spoink	484	0.654
spoink	485	0.677
spoink	486	0.677
spoink	487	0.677
spoink	488	0.677
spoink	489	0.677
spoink	490	0.677
spoink	491	0.677
spoink	492	0.677
spoink	493	0.654
spoink	494	0.609
spoink	495	0.609
spoink	496	0.564
spoink	497	0.564
spoink	498	0.564
spoink	499	0.564
spoink	500	0.564
spoink	501	0.564
spoink	502	0.586
spoink	503	0.586
spoink	504	0.564
spoink	505	0.586
spoink	506	0.564
spoink	507	0.564
spoink	508	0.541
spoink	509	0.541
spoink	510	0.519
spoink	511	0.519
spoink	512	0.519
spoink	513	0.519
spoink	514	0.519
spoink	515	0.519
spoink	516	0.519
spoink	517	0.564
spoink	518	0.564
spoink	519	0.519
spoink	520	0.519
spoink	521	0.496
spoink	522	0.496
spoink	523	0.496
spoink	524	0.496
spoink	525	0.474
spoink	526	0.451
spoink	527	0.496
spoink	528	0.496
spoink	529	0.496
spoink	530	0.496
spoink	531	0.519
spoink	532	0.519
spoink	533	0.519
spoink	534	0.451
spoink	535	0.429
spoink	536	0.429
spoink	537	0.429
spoink	538	0.429
spoink	539	0.383
spoink	540	0.383
spoink	541	0.383
spoink	542	0.361
spoink	543	0.361
spoink	544	0.361
spoink	545	0.361
spoink	546	0.361
spoink	547	0.361
spoink	548	0.361
spoink	549	0.338
spoink	550	0.338
spoink	551	0.316
spoink	572	0.316
spoink	573	0.316
spoink	574	0.316
spoink	575	0.316
spoink	576	0.316
spoink	579	0.316
spoink	582	0.316
spoink	583	0.316
spoink	584	0.338
spoink	585	0.338
spoink	586	0.338
spoink	587	0.338
spoink	588	0.338
spoink	589	0.361
spoink	590	0.361
spoink	591	0.361
spoink	592	0.316
spoink	593	0.316
spoink	594	0.316
spoink	595	0.338
spoink	596	0.338
spoink	597	0.338
spoink	598	0.338
spoink	599	0.338
spoink	600	0.338
spoink	601	0.338
spoink	605	0.316
spoink	614	0.316
spoink	615	0.316
spoink	616	0.316
spoink	617	0.316
spoink	618	0.316
spoink	619	0.316
spoink	620	0.316
spoink	621	0.316
spoink	622	0.316
spoink	623	0.316
spoink	624	0.316
spoink	625	0.338
spoink	626	0.361
spoink	627	0.383
spoink	628	0.383
spoink	629	0.383
spoink	630	0.429
spoink	631	0.429
spoink	632	0.429
spoink	633	0.429
spoink	634	0.406
spoink	635	0.429
spoink	636	0.429
spoink	637	0.406
spoink	638	0.383
spoink	639	0.383
spoink	640	0.383
spoink	641	0.361
spoink	642	0.361
spoink	643	0.361
spoink	644	0.338
spoink	645	0.316
spoink	646	0.316
spoink	649	0.338
spoink	650	0.338
spoink	651	0.338
spoink	652	0.338
spoink	653	0.338
spoink	654	0.316
spoink	655	0.316
spoink	656	0.316
spoink	661	0.316
spoink	662	0.316
spoink	663	0.316
spoink	664	0.338
spoink	665	0.338
spoink	666	0.361
spoink	667	0.361
spoink	668	0.361
spoink	669	0.361
spoink	670	0.338
spoink	671	0.338
spoink	672	0.338
spoink	673	0.338
spoink	674	0.383
spoink	675	0.383
spoink	676	0.383
spoink	677	0.383
spoink	678	0.383
spoink	679	0.383
spoink	680	0.383
spoink	681	0.383
spoink	682	0.383
spoink	683	0.406
spoink	684	0.406
spoink	685	0.429
spoink	686	0.429
spoink	687	0.429
spoink	688	0.429
spoink	689	0.406
spoink	690	0.406
spoink	691	0.406
spoink	692	0.406
spoink	693	0.406
spoink	694	0.406
spoink	695	0.406
spoink	696	0.406
spoink	697	0.429
spoink	698	0.429
spoink	699	0.429
spoink	700	0.406
spoink	701	0.383
spoink	702	0.361
spoink	703	0.361
spoink	704	0.361
spoink	705	0.316
spoink	706	0.316
spoink	707	0.316
spoink	708	0.361
spoink	709	0.361
spoink	710	0.338
spoink	711	0.338
spoink	712	0.338
spoink	713	0.338
spoink	714	0.383
spoink	715	0.406
spoink	716	0.406
spoink	717	0.406
spoink	718	0.406
spoink	719	0.429
spoink	720	0.474
spoink	721	0.474
spoink	722	0.474
spoink	723	0.474
spoink	724	0.429
spoink	725	0.429
spoink	726	0.474
spoink	727	0.474
spoink	728	0.496
spoink	729	0.496
spoink	730	0.519
spoink	731	0.519
spoink	732	0.519
spoink	733	0.541
spoink	734	0.541
spoink	735	0.541
spoink	736	0.519
spoink	737	0.519
spoink	738	0.519
spoink	739	0.474
spoink	740	0.474
spoink	741	0.451
spoink	742	0.451
spoink	743	0.451
spoink	744	0.451
spoink	745	0.451
spoink	746	0.451
spoink	747	0.474
spoink	748	0.474
spoink	749	0.429
spoink	750	0.429
spoink	751	0.429
spoink	752	0.429
spoink	753	0.429
spoink	754	0.429
spoink	755	0.406
spoink	756	0.406
spoink	757	0.406
spoink	758	0.383
spoink	759	0.406
spoink	760	0.383
spoink	761	0.383
spoink	762	0.383
spoink	763	0.383
spoink	764	0.383
spoink	765	0.383
spoink	766	0.383
spoink	767	0.383
spoink	768	0.383
spoink	769	0.383
spoink	770	0.383
spoink	771	0.406
spoink	772	0.383
spoink	773	0.383
spoink	774	0.383
spoink	775	0.383
spoink	776	0.383
spoink	777	0.383
spoink	778	0.383
spoink	779	0.383
spoink	780	0.383
spoink	781	0.586
spoink	782	0.564
spoink	783	0.541
spoink	784	0.564
spoink	785	0.586
spoink	786	0.632
spoink	787	0.632
spoink	788	0.632
spoink	789	0.586
spoink	790	0.564
spoink	791	0.564
spoink	792	0.564
spoink	793	0.564
spoink	794	0.541
spoink	795	0.496
spoink	796	0.496
spoink	797	0.496
spoink	798	0.496
spoink	799	0.496
spoink	800	0.496
spoink	801	0.451
spoink	802	0.451
spoink	803	0.429
spoink	804	0.429
spoink	805	0.406
spoink	806	0.406
spoink	807	0.496
spoink	808	0.474
spoink	809	0.474
spoink	810	0.474
spoink	811	0.451
spoink	812	0.496
spoink	813	0.496
spoink	814	0.496
spoink	815	0.564
spoink	816	0.564
spoink	817	0.564
spoink	818	0.564
spoink	819	0.564
spoink	820	0.564
spoink	821	0.564
spoink	822	0.541
spoink	823	0.541
spoink	824	0.541
spoink	825	0.564
spoink	826	0.564
spoink	827	0.564
spoink	828	0.564
spoink	829	0.564
spoink	830	0.564
spoink	831	0.564
spoink	832	0.564
spoink	833	0.564
spoink	834	0.541
spoink	835	0.541
spoink	836	0.541
spoink	837	0.541
spoink	838	0.564
spoink	839	0.564
spoink	840	0.564
spoink	841	0.564
spoink	842	0.564
spoink	843	0.361
spoink	844	0.383
spoink	845	0.383
spoink	846	0.361
spoink	847	0.361
spoink	848	0.361
spoink	849	0.383
spoink	850	0.383
spoink	851	0.383
spoink	852	0.406
spoink	853	0.406
spoink	854	0.406
spoink	855	0.429
spoink	856	0.429
spoink	857	0.429
spoink	858	0.429
spoink	859	0.406
spoink	860	0.383
spoink	861	0.338
spoink	862	0.338
spoink	863	0.338
spoink	864	0.338
spoink	865	0.338
spoink	866	0.338
spoink	867	0.338
spoink	868	0.338
spoink	869	0.383
spoink	870	0.383
spoink	871	0.383
spoink	872	0.383
spoink	873	0.383
spoink	874	0.383
spoink	875	0.383
spoink	876	0.383
spoink	877	0.383
spoink	878	0.383
spoink	879	0.383
spoink	880	0.383
spoink	881	0.383
spoink	915	0.316
spoink	916	0.316
spoink	917	0.316
spoink	918	0.316
spoink	932	0.338
spoink	933	0.338
spoink	934	0.361
spoink	935	0.361
spoink	936	0.361
spoink	937	0.361
spoink	938	0.361
spoink	939	0.361
spoink	940	0.361
spoink	941	0.361
spoink	942	0.361
spoink	943	0.383
spoink	944	0.361
spoink	945	0.361
spoink	946	0.383
spoink	947	0.383
spoink	948	0.383
spoink	949	0.383
spoink	950	0.406
spoink	951	0.406
spoink	952	0.406
spoink	953	0.406
spoink	954	0.406
spoink	955	0.451
spoink	956	0.451
spoink	957	0.451
spoink	958	0.451
spoink	959	0.451
spoink	960	0.451
spoink	961	0.451
spoink	962	0.451
spoink	963	0.451
spoink	964	0.474
spoink	965	0.474
spoink	966	0.429
spoink	967	0.429
spoink	968	0.429
spoink	969	0.429
spoink	970	0.406
spoink	971	0.406
spoink	972	0.451
spoink	973	0.429
spoink	974	0.406
spoink	975	0.406
spoink	976	0.406
spoink	977	0.406
spoink	978	0.406
spoink	979	0.406
spoink	980	0.406
spoink	981	0.383
spoink	982	0.383
spoink	983	0.383
spoink	984	0.383
spoink	985	0.383
spoink	986	0.383
spoink	987	0.383
spoink	988	0.383
spoink	989	0.361
spoink	990	0.338
spoink	991	0.338
spoink	992	0.338
spoink	993	0.338
spoink	994	0.338
spoink	995	0.338
spoink	996	0.338
spoink	997	0.338
spoink	998	0.338
spoink	999	0.338
spoink	1000	0.361
spoink	1001	0.361
spoink	1002	0.361
spoink	1003	0.361
spoink	1004	0.361
spoink	1005	0.361
spoink	1006	0.338
spoink	1085	0.316
spoink	1086	0.316
spoink	1087	0.316
spoink	1088	0.316
spoink	1089	0.316
spoink	1090	0.316
spoink	1091	0.316
spoink	1092	0.316
spoink	1093	0.338
spoink	1094	0.338
spoink	1095	0.338
spoink	1096	0.338
spoink	1097	0.316
spoink	1098	0.316
spoink	1099	0.316
spoink	1100	0.316
spoink	1101	0.316
spoink	1102	0.316
spoink	1103	0.316
spoink	1104	0.316
spoink	1105	0.316
spoink	1106	0.316
spoink	1107	0.316
spoink	1108	0.316
spoink	1109	0.316
spoink	1110	0.361
spoink	1111	0.361
spoink	1112	0.338
spoink	1113	0.338
spoink	1114	0.316
spoink	1149	0.316
spoink	1150	0.316
spoink	1182	0.316
spoink	1183	0.316
spoink	1184	0.316
spoink	1210	0.316
spoink	1211	0.316
spoink	1212	0.316
spoink	1213	0.316
spoink	1214	0.316
spoink	1215	0.338
spoink	1216	0.338
spoink	1217	0.338
spoink	1223	0.316
spoink	1269	0.316
spoink	1270	0.316
spoink	1271	0.316
spoink	1272	0.316
spoink	1273	0.361
spoink	1274	0.361
spoink	1275	0.361
spoink	1276	0.361
spoink	1277	0.361
spoink	1278	0.361
spoink	1279	0.496
spoink	1280	0.496
spoink	1281	0.496
spoink	1282	0.519
spoink	1283	0.586
spoink	1284	0.586
spoink	1285	0.541
spoink	1286	0.541
spoink	1287	0.586
spoink	1288	0.609
spoink	1289	0.609
spoink	1290	0.586
spoink	1291	0.586
spoink	1292	0.586
spoink	1293	0.586
spoink	1294	1.399
spoink	1295	1.421
spoink	1296	1.489
spoink	1297	1.489
spoink	1298	1.511
spoink	1299	1.534
spoink	1300	1.534
spoink	1301	1.511
spoink	1302	1.511
spoink	1303	1.511
spoink	1304	1.511
spoink	1305	1.511
spoink	1306	1.511
spoink	1307	1.534
spoink	1308	1.534
spoink	1309	1.534
spoink	1310	1.534
spoink	1311	1.534
spoink	1312	1.534
spoink	1313	1.534
spoink	1314	1.534
spoink	1315	1.534
spoink	1316	1.534
spoink	1317	1.534
spoink	1318	1.534
spoink	1319	1.534
spoink	1320	1.534
spoink	1321	1.534
spoink	1322	1.534
spoink	1323	1.534
spoink	1324	1.534
spoink	1325	1.489
spoink	1326	1.489
spoink	1327	1.489
spoink	1328	1.489
spoink	1329	1.489
spoink	1330	1.511
spoink	1331	1.511
spoink	1332	1.511
spoink	1333	1.511
spoink	1334	1.511
spoink	1335	1.511
spoink	1336	1.511
spoink	1337	1.511
spoink	1338	1.511
spoink	1339	1.534
spoink	1340	1.556
spoink	1341	1.534
spoink	1342	1.444
spoink	1343	1.444
spoink	1344	1.331
spoink	1345	1.376
spoink	1346	1.376
spoink	1347	1.376
spoink	1348	1.353
spoink	1349	1.353
spoink	1350	1.196
spoink	1351	1.196
spoink	1352	1.196
spoink	1353	1.196
spoink	1354	1.196
spoink	1355	1.173
spoink	1356	0.902
spoink	1357	0.88
spoink	1358	0.812
spoink	1359	0.812
spoink	1360	0.812
spoink	1361	0.677
spoink	1362	0.361
spoink	1363	0.338
spoink	1364	0.338
spoink	1365	0.338
spoink	1366	0.338
spoink	1367	0.383
spoink	1368	0.383
spoink	1397	0.316
spoink	1398	0.316
spoink	1399	0.316
spoink	1400	0.316
spoink	1401	0.316
spoink	1402	0.316
spoink	1403	0.316
spoink	1404	0.316
spoink	1413	0.316
spoink	1485	0.316
spoink	1486	0.316
spoink	1487	0.316
spoink	1512	0.316
spoink	1517	0.316
spoink	1518	0.316
spoink	1519	0.338
spoink	1520	0.338
spoink	1521	0.361
spoink	1522	0.361
spoink	1523	0.338
spoink	1524	0.338
spoink	1525	0.338
spoink	1526	0.338
spoink	1527	0.338
spoink	1528	0.338
spoink	1529	0.361
spoink	1530	0.361
spoink	1531	0.361
spoink	1532	0.361
spoink	1533	0.406
spoink	1534	0.406
spoink	1535	0.406
spoink	1536	0.474
spoink	1537	0.744
spoink	1538	0.902
spoink	1539	0.925
spoink	1540	0.947
spoink	1541	0.947
spoink	1542	0.947
spoink	1543	0.947
spoink	1544	0.925
spoink	1545	0.925
spoink	1546	0.925
spoink	1547	0.925
spoink	1548	0.925
spoink	1549	0.835
spoink	1550	0.835
spoink	1551	0.835
spoink	1552	0.835
spoink	1553	0.835
spoink	1554	0.835
spoink	1555	0.835
spoink	1556	0.857
spoink	1557	0.857
spoink	1558	0.857
spoink	1559	0.88
spoink	1560	0.857
spoink	1561	0.857
spoink	1562	0.857
spoink	1563	0.88
spoink	1564	0.88
spoink	1565	0.88
spoink	1566	0.88
spoink	1567	0.88
spoink	1568	0.88
spoink	1569	0.88
spoink	1570	0.88
spoink	1571	0.88
spoink	1572	0.88
spoink	1573	0.88
spoink	1574	0.88
spoink	1575	0.88
spoink	1576	0.902
spoink	1577	0.902
spoink	1578	0.902
spoink	1579	0.902
spoink	1580	0.902
spoink	1581	0.902
spoink	1582	0.902
spoink	1583	0.902
spoink	1584	0.902
spoink	1585	0.902
spoink	1586	0.925
spoink	1587	0.902
spoink	1588	0.947
spoink	1589	0.97
spoink	1590	0.97
spoink	1591	0.97
spoink	1592	0.947
spoink	1593	0.925
spoink	1594	0.902
spoink	1595	0.902
spoink	1596	0.88
spoink	1597	0.88
spoink	1598	0.88
spoink	1599	0.88
spoink	1600	0.88
spoink	1601	0.88
spoink	1602	0.88
spoink	1603	0.902
spoink	1604	0.925
spoink	1605	0.925
spoink	1606	0.97
spoink	1607	0.902
spoink	1608	0.857
spoink	1609	0.767
spoink	1610	0.744
spoink	1611	0.429
spoink	1612	0.383
spoink	1613	0.316
spoink	1614	0.316
spoink	1615	0.361
spoink	1616	0.361
spoink	1617	0.383
spoink	1618	0.361
spoink	1619	0.361
spoink	1620	0.361
spoink	1621	0.361
spoink	1622	0.361
spoink	1623	0.383
spoink	1624	0.429
spoink	1625	0.429
spoink	1626	0.429
spoink	1627	0.429
spoink	1628	0.429
spoink	1629	0.429
spoink	1630	0.429
spoink	1631	0.406
spoink	1632	0.406
spoink	1633	0.429
spoink	1634	0.406
spoink	1635	0.406
spoink	1636	0.451
spoink	1637	0.451
spoink	1638	0.429
spoink	1639	0.429
spoink	1640	0.429
spoink	1641	0.474
spoink	1642	0.474
spoink	1643	0.474
spoink	1644	0.496
spoink	1645	0.496
spoink	1646	0.496
spoink	1647	0.519
spoink	1648	0.519
spoink	1649	0.519
spoink	1650	0.541
spoink	1651	0.519
spoink	1652	0.541
spoink	1653	0.541
spoink	1654	0.564
spoink	1655	0.564
spoink	1656	0.586
spoink	1657	0.586
spoink	1658	0.586
spoink	1659	0.564
spoink	1660	0.564
spoink	1661	0.564
spoink	1662	0.564
spoink	1663	0.541
spoink	1664	0.519
spoink	1665	0.519
spoink	1666	0.519
spoink	1667	0.519
spoink	1668	0.519
spoink	1669	0.541
spoink	1670	0.541
spoink	1671	0.541
spoink	1672	0.541
spoink	1673	0.541
spoink	1674	0.541
spoink	1675	0.541
spoink	1676	0.541
spoink	1677	0.541
spoink	1678	0.519
spoink	1679	0.496
spoink	1680	0.496
spoink	1681	0.451
spoink	1682	0.451
spoink	1683	0.451
spoink	1684	0.451
spoink	1685	0.451
spoink	1686	0.429
spoink	1687	0.429
spoink	1688	0.429
spoink	1689	0.429
spoink	1690	0.383
spoink	1691	0.383
spoink	1692	0.361
spoink	1693	0.361
spoink	1694	0.361
spoink	1695	0.361
spoink	1696	0.383
spoink	1697	0.383
spoink	1698	0.361
spoink	1699	0.316
spoink	1700	0.316
spoink	1701	0.338
spoink	1702	0.338
spoink	1703	0.361
spoink	1704	0.361
spoink	1705	0.361
spoink	1706	0.361
spoink	1707	0.361
spoink	1708	0.338
spoink	1709	0.338
spoink	1710	0.338
spoink	1714	0.338
spoink	1715	0.338
spoink	1717	0.338
spoink	1718	0.338
spoink	1719	0.361
spoink	1720	0.383
spoink	1721	0.383
spoink	1722	0.406
spoink	1723	0.429
spoink	1724	0.451
spoink	1725	0.429
spoink	1726	0.429
spoink	1727	0.406
spoink	1728	0.406
spoink	1729	0.383
spoink	1730	0.383
spoink	1731	0.361
spoink	1732	0.361
spoink	1733	0.383
spoink	1734	0.383
spoink	1735	0.383
spoink	1736	0.361
spoink	1737	0.361
spoink	1738	0.361
spoink	1739	0.361
spoink	1740	0.361
spoink	1741	0.361
spoink	1742	0.361
spoink	1743	0.361
spoink	1744	0.338
spoink	1745	0.338
spoink	1746	0.338
spoink	1747	0.383
spoink	1748	0.383
spoink	1749	0.383
spoink	1750	0.383
spoink	1751	0.383
spoink	1752	0.406
spoink	1753	0.406
spoink	1754	0.406
spoink	1755	0.429
spoink	1756	0.429
spoink	1757	0.429
spoink	1758	0.429
spoink	1759	0.429
spoink	1760	0.429
spoink	1761	0.429
spoink	1762	0.429
spoink	1763	0.429
spoink	1764	0.429
spoink	1765	0.429
spoink	1766	0.451
spoink	1767	0.451
spoink	1768	0.474
spoink	1769	0.474
spoink	1770	0.474
spoink	1771	0.451
spoink	1772	0.451
spoink	1773	0.451
spoink	1774	0.451
spoink	1775	0.451
spoink	1776	0.429
spoink	1777	0.451
spoink	1778	0.451
spoink	1779	0.474
spoink	1780	0.496
spoink	1781	0.496
spoink	1782	0.496
spoink	1783	0.496
spoink	1784	0.496
spoink	1785	0.496
spoink	1786	0.496
spoink	1787	0.496
spoink	1788	0.496
spoink	1789	0.451
spoink	1790	0.451
spoink	1791	0.451
spoink	1792	0.406
spoink	1793	0.383
spoink	1794	0.383
spoink	1795	0.361
spoink	1796	0.361
spoink	1797	0.316
spoink	1798	0.316
spoink	1800	0.316
spoink	1801	0.316
spoink	1802	0.316
spoink	1803	0.316
spoink	1804	0.338
spoink	1805	0.338
spoink	1806	0.338
spoink	1807	0.338
spoink	1808	0.338
spoink	1809	0.338
spoink	1810	0.338
spoink	1811	0.338
spoink	1812	0.338
spoink	1813	0.338
spoink	1814	0.338
spoink	1815	0.338
spoink	1816	0.338
spoink	1817	0.338
spoink	1818	0.338
spoink	1819	0.338
spoink	1820	0.338
spoink	1821	0.338
spoink	1824	0.316
spoink	1825	0.316
spoink	1826	0.316
spoink	1903	0.496
spoink	1904	0.496
spoink	1905	0.496
spoink	1906	0.496
spoink	1907	0.496
spoink	1908	0.496
spoink	1909	0.496
spoink	1910	0.519
spoink	1911	0.496
spoink	1912	0.744
spoink	1913	0.857
spoink	1914	0.947
spoink	1915	0.947
spoink	1916	0.993
spoink	1917	0.993
spoink	1918	0.993
spoink	1919	0.993
spoink	1920	0.993
spoink	1921	1.015
spoink	1922	1.015
spoink	1923	0.993
spoink	1924	1.015
spoink	1925	1.015
spoink	1926	1.015
spoink	1927	1.015
spoink	1928	1.015
spoink	1929	1.015
spoink	1930	1.015
spoink	1931	1.06
spoink	1932	1.06
spoink	1933	1.06
spoink	1934	1.06
spoink	1935	1.038
spoink	1936	1.038
spoink	1937	1.015
spoink	1938	1.015
spoink	1939	1.015
spoink	1940	0.993
spoink	1941	0.993
spoink	1942	0.993
spoink	1943	0.97
spoink	1944	0.97
spoink	1945	0.97
spoink	1946	0.97
spoink	1947	0.97
spoink	1948	0.97
spoink	1949	0.947
spoink	1950	0.947
spoink	1951	0.993
spoink	1952	0.993
spoink	1953	0.993
spoink	1954	0.993
spoink	1955	0.993
spoink	1956	0.993
spoink	1957	1.038
spoink	1958	1.038
spoink	1959	1.038
spoink	1960	1.083
spoink	1961	1.038
spoink	1962	0.993
spoink	1963	0.97
spoink	1964	0.947
spoink	1965	0.902
spoink	1966	0.902
spoink	1967	0.902
spoink	1968	0.902
spoink	1969	0.902
spoink	1970	0.79
spoink	1971	0.744
spoink	1972	0.722
spoink	1973	0.722
spoink	1974	0.722
spoink	1975	0.79
spoink	1976	0.857
spoink	1977	0.857
spoink	1978	0.857
spoink	1979	0.857
spoink	1980	0.88
spoink	1981	0.902
spoink	1982	0.925
spoink	1983	0.947
spoink	1984	0.474
spoink	1985	0.451
spoink	1986	0.451
spoink	1987	0.451
spoink	1988	0.451
spoink	1989	0.474
spoink	1990	0.474
spoink	1991	0.474
spoink	1992	0.496
spoink	1993	0.519
spoink	1994	0.541
spoink	1995	0.541
spoink	1996	0.519
spoink	1997	0.722
spoink	1998	0.722
spoink	1999	0.699
spoink	2000	0.744
spoink	2001	0.744
spoink	2002	0.902
spoink	2003	0.947
spoink	2004	0.97
spoink	2005	0.993
spoink	2006	0.947
spoink	2007	0.947
spoink	2008	0.993
spoink	2009	0.993
spoink	2010	0.993
spoink	2011	1.083
spoink	2012	1.15
spoink	2013	1.196
spoink	2014	1.331
spoink	2015	1.421
spoink	2016	1.556
spoink	2017	1.737
spoink	2018	1.872
spoink	2019	2.075
spoink	2020	2.165
spoink	2021	2.233
spoink	2022	2.391
spoink	2023	2.414
spoink	2024	2.436
spoink	2025	2.436
spoink	2026	2.481
spoink	2027	2.549
spoink	2028	2.549
spoink	2029	2.549
spoink	2030	2.594
spoink	2031	2.549
spoink	2032	2.662
spoink	2033	2.662
spoink	2034	2.707
spoink	2035	2.662
spoink	2036	2.662
spoink	2037	2.617
spoink	2038	2.617
spoink	2039	2.617
spoink	2040	2.617
spoink	2041	2.932
spoink	2042	2.932
spoink	2043	2.932
spoink	2044	2.932
spoink	2045	2.932
spoink	2046	2.932
spoink	2047	2.978
spoink	2048	2.978
spoink	2049	2.955
spoink	2050	2.978
spoink	2051	2.91
spoink	2052	2.82
