experiment_accession	run_accession	instrument_platform	library_source	study_alias	fastq_md5	fastq_ftp	sra_md5	sample_alias	sample_title
SRX3029351	SRR5860595	ILLUMINA	GENOMIC	PRJNA395473	62d861cc6c4d0592a04774e564f272d1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860595/SRR5860595.fastq.gz	fecef622afc66a735d889e1d5f16dda9	BIOKO_NE_4_6	Invertebrate sample from Drosophila yakuba
SRX3029349	SRR5860597	ILLUMINA	GENOMIC	PRJNA395473	22a311f1706f6bcc2d263c29e86b278c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860597/SRR5860597.fastq.gz	37ecd6d34c3e8200e395aa81b0ebd614	COST_1235_3	Invertebrate sample from Drosophila yakuba
SRX3029345	SRR5860601	ILLUMINA	GENOMIC	PRJNA395473	7185421ac36f64cad1935ccb7191a18d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860601/SRR5860601.fastq.gz	756d178ada4afb7b90ad8d77b89b4621	1_19	Invertebrate sample from Drosophila yakuba
SRX3029342	SRR5860604	ILLUMINA	GENOMIC	PRJNA395473	3f2590752d29cbeb66307aab7145ca26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/004/SRR5860604/SRR5860604.fastq.gz	196e201a3518ca1922f98dda915e87dd	Cascade_19_16	Invertebrate sample from Drosophila yakuba
SRX3029341	SRR5860605	ILLUMINA	GENOMIC	PRJNA395473	4f9f704dd950a66be91eea8d97100c12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860605/SRR5860605.fastq.gz	a9868988bf7b2e74319916ef09e98844	Qiuja630.39	Invertebrate sample from Drosophila santomea
SRX3029338	SRR5860608	ILLUMINA	GENOMIC	PRJNA395473	17bcc4480494fb51822ce1ae123106f8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/008/SRR5860608/SRR5860608.fastq.gz	bb1955103b84087c35394cc324a08d43	sanThena5	Invertebrate sample from Drosophila santomea
SRX3029335	SRR5860611	ILLUMINA	GENOMIC	PRJNA395473	19f98e52ac4c9ad053563117917c7c22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860611/SRR5860611.fastq.gz	dcd5c23aa2ce3dfd3745339852eb3738	sanSTO7	Invertebrate sample from Drosophila santomea
SRX3029332	SRR5860614	ILLUMINA	GENOMIC	PRJNA395473	02d07c415b8fdfa4bff74683457e7b3b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/004/SRR5860614/SRR5860614.fastq.gz	5fbcbc7fd108afcd77a97883ef4e5410	sanOBAT1200.5	Invertebrate sample from Drosophila santomea
SRX3029331	SRR5860615	ILLUMINA	GENOMIC	PRJNA395473	40507e0102ff76f8c9701a51363dc30c;8d718faf4b6ab2f25e2e0aaaee56049c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860615/SRR5860615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860615/SRR5860615_2.fastq.gz	6a3e8baa3965ec4a717eeab326b55369	Balancha_1	Invertebrate sample from Drosophila teissieri
SRX3029326	SRR5860620	ILLUMINA	GENOMIC	PRJNA395473	f12b0fe6153c059d880a7c2d2b5eba1e;41d2d628d51c12247dcbe4d6c9719bed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860620/SRR5860620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860620/SRR5860620_2.fastq.gz	c8a639be367d3cad7bf9f4f4f17f2df9	Selinda	Invertebrate sample from Drosophila teissieri
SRX3029325	SRR5860621	ILLUMINA	GENOMIC	PRJNA395473	73f89a9f37166c1d4a8c6aac08621670;48a7b80f2a81e5cc246a5070c5a66990	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860621/SRR5860621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860621/SRR5860621_2.fastq.gz	798b09678691d8759c2cd2aadf40095f	House_Bioko	Invertebrate sample from Drosophila teissieri
SRX3029319	SRR5860627	ILLUMINA	GENOMIC	PRJNA395473	f91fc8730f414a2eeb47f7162b1c33ea	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860627/SRR5860627.fastq.gz	38a72315557920ab20d9672024a5a8bf	DenisDNJ6	Invertebrate sample from Drosophila sechellia
SRX3029313	SRR5860633	ILLUMINA	GENOMIC	PRJNA395473	424e20cc64585a814e36ef887e286d9a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860633/SRR5860633.fastq.gz	0b8f24f8eb759602830aee98f28e4ed9	DenisNF13	Invertebrate sample from Drosophila sechellia
SRX3029311	SRR5860635	ILLUMINA	GENOMIC	PRJNA395473	00413c058fc88c7c2924f2301775bd09;302e956ccf3fe31e6bc15a3af21d3a4b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860635/SRR5860635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860635/SRR5860635_2.fastq.gz	30b84ce0b343e7e2d0198fd91b5c4bcf	C650_14	Invertebrate sample from Drosophila santomea
SRX3029307	SRR5860639	ILLUMINA	GENOMIC	PRJNA395473	1f4ba4269857835c08f40c938300daa7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860639/SRR5860639.fastq.gz	d4c6cfb8655ece2f4b3dddc7e8094f23	DenisNF100	Invertebrate sample from Drosophila sechellia
SRX3029306	SRR5860640	ILLUMINA	GENOMIC	PRJNA395473	3bd9cd287c74a9e262df8078667da55b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860640/SRR5860640.fastq.gz	139cdc23adcbbd980ef5a0d24d6529b4	DenisNF123	Invertebrate sample from Drosophila sechellia
SRX3029303	SRR5860643	ILLUMINA	GENOMIC	PRJNA395473	e9e04717dab53912e3568bf445e954f5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860643/SRR5860643.fastq.gz	2b9a4b54d9502fbb79f4decb84ba1584	DenisAMT	Invertebrate sample from Drosophila sechellia
SRX3029298	SRR5860648	ILLUMINA	GENOMIC	PRJNA395473	4bb75e60edab4e8aac456746e35adc00	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/008/SRR5860648/SRR5860648.fastq.gz	8bce9a4a2adb12aba86b8dc7d99ffde0	Tai_18	Invertebrate sample from Drosophila yakuba
SRX3029297	SRR5860649	ILLUMINA	GENOMIC	PRJNA395473	6bef0e3bdf69e2ee4d95c97fc416e2df	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860649/SRR5860649.fastq.gz	701fa82889bda4f1a3050f88b049ae24	1_7	Invertebrate sample from Drosophila yakuba
SRX3029295	SRR5860651	ILLUMINA	GENOMIC	PRJNA395473	5fa97e0b134c834c33a72c9be0cca18f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860651/SRR5860651.fastq.gz	36f084f8112e8ba03385fff8e9100915	Anton_1_Principe	Invertebrate sample from Drosophila yakuba
SRX3029294	SRR5860652	ILLUMINA	GENOMIC	PRJNA395473	61b35af6250df54db7c08f74ac873e60	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860652/SRR5860652.fastq.gz	9066618837282a793d76a721ccd84f7d	SA_3	Invertebrate sample from Drosophila yakuba
SRX3029289	SRR5860657	ILLUMINA	GENOMIC	PRJNA395473	0b89bb86f5927d060a600f0a9ada0170;03c8c489020c694cd1b80e0e1eb7d5c7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860657/SRR5860657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860657/SRR5860657_2.fastq.gz	e69b6bcf9116bab466b946f5882dc000	LD13	Invertebrate sample from Drosophila sechellia
SRX3029284	SRR5860662	ILLUMINA	GENOMIC	PRJNA395473	cf3f4a5c55d5b7aa10e142a029a9d985;2ce3c7d37b1c7df1145ca0079bd62d99	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860662/SRR5860662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860662/SRR5860662_2.fastq.gz	a5db0ae4fc93cf4aaa3e7aae8dcd0590	LD12	Invertebrate sample from Drosophila sechellia
SRX3029280	SRR5860666	ILLUMINA	GENOMIC	PRJNA395473	d1808d633500907f7f4db773c79ec628;c1453dc839550ac070f5ce083d25e7de	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860666/SRR5860666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860666/SRR5860666_2.fastq.gz	24cd21e552bc7ccfd84fe1fde055a4cd	PNF10	Invertebrate sample from Drosophila sechellia
SRX3029277	SRR5860669	ILLUMINA	GENOMIC	PRJNA395473	61844f05d5d55d65b7b1bc9832a98572	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860669/SRR5860669.fastq.gz	db43c2663d06c602f736ba6f45738375	Denis7_8	Invertebrate sample from Drosophila sechellia
SRX3029276	SRR5860670	ILLUMINA	GENOMIC	PRJNA395473	12ca8c5ad93a3173d90fc8f9b37995a1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860670/SRR5860670.fastq.gz	bde73c9d3bb073758e532cc04e0991c9	DenisMCL	Invertebrate sample from Drosophila sechellia
SRX3029274	SRR5860672	ILLUMINA	GENOMIC	PRJNA395473	3b250b47f9ed2a1dbfb248ae0bd909f5;428401a4a1acbbdcb6236a01f23a4cfb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860672/SRR5860672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860672/SRR5860672_2.fastq.gz	afea2b00f2f4e1abf4258b50aa313e21	PNF8	Invertebrate sample from Drosophila sechellia
SRX3029271	SRR5860675	ILLUMINA	GENOMIC	PRJNA395473	c5e07f9e90e18711e0d0077149c55088;a4b256e35f4d0940427c75050b08146f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860675/SRR5860675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860675/SRR5860675_2.fastq.gz	41afa848d8655598385176544d56fa39	PNF7	Invertebrate sample from Drosophila sechellia
SRX3029372	SRR5860574	ILLUMINA	GENOMIC	PRJNA395473	85a12073f5a486247cf4961f427a1462	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/004/SRR5860574/SRR5860574.fastq.gz	3b5f90911321d70fb693b74f4ddaf7d1	SanTome_city_14_26	Invertebrate sample from Drosophila yakuba
SRX3029369	SRR5860577	ILLUMINA	GENOMIC	PRJNA395473	aa6b7426e7427132d3759ba9fff2c870	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860577/SRR5860577.fastq.gz	246891b64c12131d0c9f6cc09e0a4bb6	Bata8	Invertebrate sample from Drosophila teissieri
SRX3029368	SRR5860578	ILLUMINA	GENOMIC	PRJNA395473	787c370cde601cda5eec4ca3c315ae24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/008/SRR5860578/SRR5860578.fastq.gz	972fad6b44ee0232d3f04eb0c72de4af	Cascade_21	Invertebrate sample from Drosophila yakuba
SRX3029367	SRR5860579	ILLUMINA	GENOMIC	PRJNA395473	d820c8043b7e20349dcdab71e826596b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860579/SRR5860579.fastq.gz	9aa8aba9db01ec02150db03280306696	BAR_1000_2	Invertebrate sample from Drosophila yakuba
SRX3029366	SRR5860580	ILLUMINA	GENOMIC	PRJNA395473	31348ec07eb8152ed2de2d90cfad77cb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860580/SRR5860580.fastq.gz	1c344b53a3e49a6ba1a507fc4e22ffcb	SN7	Invertebrate sample from Drosophila yakuba
SRX3029363	SRR5860583	ILLUMINA	GENOMIC	PRJNA395473	aa3d61b81bfcd69c9521a682814eae89;99031732fcf2506a581c472aed5ebff1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860583/SRR5860583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860583/SRR5860583_2.fastq.gz	c18a5dc29a229ba7922e8b90325dee96	PNF4	Invertebrate sample from Drosophila sechellia
SRX3029357	SRR5860589	ILLUMINA	GENOMIC	PRJNA395473	1f0648f6085209ba76db0d3909b2a6cf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860589/SRR5860589.fastq.gz	1c6c37472171441810ed8fc192a6777d	OBAT_1200_5	Invertebrate sample from Drosophila yakuba
SRX3029355	SRR5860591	ILLUMINA	GENOMIC	PRJNA395473	da4ff5391bb2b208f797804e9aa37aa6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860591/SRR5860591.fastq.gz	2311e36173ade998d4d07957f1a71e76	Airport_16_5	Invertebrate sample from Drosophila yakuba
SRX3029353	SRR5860593	ILLUMINA	GENOMIC	PRJNA395473	2b9961356b3da15ad5020b6e7c40203a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860593/SRR5860593.fastq.gz	9dfc6edd4d10ca0dcc1d68d46663104b	2_6	Invertebrate sample from Drosophila yakuba
SRX3029350	SRR5860596	ILLUMINA	GENOMIC	PRJNA395473	9b14d47bd6e4b25bc6611a2eeaa8d85d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860596/SRR5860596.fastq.gz	af7c47e6a011578d1a0ff37bf441c2d5	2_11	Invertebrate sample from Drosophila yakuba
SRX3029344	SRR5860602	ILLUMINA	GENOMIC	PRJNA395473	2bd850e287138eecb84b7b70bfccf203	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860602/SRR5860602.fastq.gz	908eac8eda1a56c1744ce5b97929ecbd	3_16	Invertebrate sample from Drosophila yakuba
SRX3029343	SRR5860603	ILLUMINA	GENOMIC	PRJNA395473	8562695b0c6dd20102a3dd8d29737c7e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860603/SRR5860603.fastq.gz	730c35ceebd77e0b5665ffca49036d9a	2_8	Invertebrate sample from Drosophila yakuba
SRX3029339	SRR5860607	ILLUMINA	GENOMIC	PRJNA395473	5fb94184aa8c4d5fca6686a217e4f95b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860607/SRR5860607.fastq.gz	820e7520517e3272559efde9f1d5d68e	sanCAR1490.5	Invertebrate sample from Drosophila santomea
SRX3029337	SRR5860609	ILLUMINA	GENOMIC	PRJNA395473	0af83f0c686e80e881cd9243f6eeea18	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860609/SRR5860609.fastq.gz	18d4b3631078734a3e9f645b92500b28	sanCOST1270.6	Invertebrate sample from Drosophila santomea
SRX3029334	SRR5860612	ILLUMINA	GENOMIC	PRJNA395473	d2479f7ee31e8d41b7db3f6e68f7c8c9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860612/SRR5860612.fastq.gz	e5a9df21686aaaf924a803269c9ec7f2	sanOBAT1200.13	Invertebrate sample from Drosophila santomea
SRX3029329	SRR5860617	ILLUMINA	GENOMIC	PRJNA395473	a13ccab8d8ea610210690e817e6a9d39;398bed7ff529fbe35f671776d031e435	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860617/SRR5860617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860617/SRR5860617_2.fastq.gz	1d72075211e520797098c4aa54029a90	cascade_4_3	Invertebrate sample from Drosophila teissieri
SRX3029328	SRR5860618	ILLUMINA	GENOMIC	PRJNA395473	8f68cf60b3f4b9c5442ac48ebf69edb8;472b0be609ffb3b589923e6d7e234b25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/008/SRR5860618/SRR5860618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/008/SRR5860618/SRR5860618_2.fastq.gz	15b5a3b925b2dc812cde6ed3dc555072	cascade_4_1	Invertebrate sample from Drosophila teissieri
SRX3029322	SRR5860624	ILLUMINA	GENOMIC	PRJNA395473	4220063487f99f395119958923e7ca8b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/004/SRR5860624/SRR5860624.fastq.gz	d31b7dfaae24bb8c00b59c15957c31c3	sanCOST1250.5	Invertebrate sample from Drosophila santomea
SRX3029321	SRR5860625	ILLUMINA	GENOMIC	PRJNA395473	90d76af4872800b802ba6dccd14c665a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860625/SRR5860625.fastq.gz	7ea394b991b68683a3528179161467c4	DenisNF155	Invertebrate sample from Drosophila sechellia
SRX3029320	SRR5860626	ILLUMINA	GENOMIC	PRJNA395473	04fbe50f3db30f00203265820c52348c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860626/SRR5860626.fastq.gz	fa00af9fb70566ae6a3c9b024a0219f9	DenisNoni10	Invertebrate sample from Drosophila sechellia
SRX3029318	SRR5860628	ILLUMINA	GENOMIC	PRJNA395473	fade990ec004dcaa2dc936e7839c2ba9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/008/SRR5860628/SRR5860628.fastq.gz	2d121edda5951166b3cc2e62614ee9db	DenisNoni60	Invertebrate sample from Drosophila sechellia
SRX3029315	SRR5860631	ILLUMINA	GENOMIC	PRJNA395473	5896da624af440118f2d7cefd02e17cd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860631/SRR5860631.fastq.gz	0a80bdef2cc5a32da2eecb4d23a09360	Denis124	Invertebrate sample from Drosophila sechellia
SRX3029314	SRR5860632	ILLUMINA	GENOMIC	PRJNA395473	cab23da8ba2a38015c672035a42f6165	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860632/SRR5860632.fastq.gz	22c2486c8ea3751c5c13073d451c2a77	Denis7_2	Invertebrate sample from Drosophila sechellia
SRX3029309	SRR5860637	ILLUMINA	GENOMIC	PRJNA395473	fc25ec8a4b9e35d216bbc79b182f3e1a;e2c47919650d01e9ae8464dcafc4ffa9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860637/SRR5860637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860637/SRR5860637_2.fastq.gz	53e94ef2d0910a92488eae8a29c9c0a1	CAR1600	Invertebrate sample from Drosophila santomea
SRX3029305	SRR5860641	ILLUMINA	GENOMIC	PRJNA395473	0f2c140b588ce24b72926c6a000e0e3e;0b1c062fee5ed271cca888c97181df6e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860641/SRR5860641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860641/SRR5860641_2.fastq.gz	da9d39e97f86a206e1b1f40d11299db7	BS14	Invertebrate sample from Drosophila santomea
SRX3029301	SRR5860645	ILLUMINA	GENOMIC	PRJNA395473	36d3d6b2a75c9021480184357b7dcde2;1e903c0d65788bebd59a90a1769fb7ff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860645/SRR5860645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860645/SRR5860645_2.fastq.gz	2a8dfcbf21394fb23d1e24b7defceb9a	Anro_B7	Invertebrate sample from Drosophila sechellia
SRX3029296	SRR5860650	ILLUMINA	GENOMIC	PRJNA395473	e0f1dfdf79f0e411fb0785fd61ad76f4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860650/SRR5860650.fastq.gz	b33e0d5ae9239329a5f42059b3e86bce	COST_1235_2	Invertebrate sample from Drosophila yakuba
SRX3029290	SRR5860656	ILLUMINA	GENOMIC	PRJNA395473	4cb2329f2903204586a5420609b8fddf;b538ca38258375f5dc87576d8143215e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860656/SRR5860656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860656/SRR5860656_2.fastq.gz	ddf402cf4fe280a3c6ebd1f96ec8fe3a	LD16	Invertebrate sample from Drosophila sechellia
SRX3029287	SRR5860659	ILLUMINA	GENOMIC	PRJNA395473	bacc07756d0a1cebf7604acbd25ae699;92c638eeed09fe26f1d67cec729d2cf7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860659/SRR5860659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/009/SRR5860659/SRR5860659_2.fastq.gz	77d9d5d2379d177e3dafcf0ea7629277	mariane_1	Invertebrate sample from Drosophila sechellia
SRX3029285	SRR5860661	ILLUMINA	GENOMIC	PRJNA395473	fd4d40df8f33fbab1b18f0a3e287c1f0;431b4893bb43192e5f529a9e860210d9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860661/SRR5860661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860661/SRR5860661_2.fastq.gz	1fc003a1692ee9f87196ff47ae69cb4f	Anro_B2	Invertebrate sample from Drosophila sechellia
SRX3029283	SRR5860663	ILLUMINA	GENOMIC	PRJNA395473	6aca7161526cb7d0dcad6af397858b4e;0f3c34b33f588f4241c76cd9b411df57	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860663/SRR5860663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860663/SRR5860663_2.fastq.gz	04896d5fcb73cc6f086990965cda5eb2	Anro_B6	Invertebrate sample from Drosophila sechellia
SRX3029279	SRR5860667	ILLUMINA	GENOMIC	PRJNA395473	dc9e704e6c7152e675d0bb7641e32963;e0bc94271d96a55ab7fc754086bc388e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860667/SRR5860667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860667/SRR5860667_2.fastq.gz	dc67fe15a502021fe50bec59bb88e1fe	PNF11	Invertebrate sample from Drosophila sechellia
SRX3029275	SRR5860671	ILLUMINA	GENOMIC	PRJNA395473	599c618c93598e88625463e0436f0a02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860671/SRR5860671.fastq.gz	99a44cb7cc7d1396fe100e383999abc3	Denis135	Invertebrate sample from Drosophila sechellia
SRX3029375	SRR5860571	ILLUMINA	GENOMIC	PRJNA395473	5f073958c67c74ce8464ae2a39e2129f;161d9ad70ab3a65506aae15e36660abb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860571/SRR5860571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860571/SRR5860571_2.fastq.gz	07730350c649f37cc8670a2e8f5f56fd	La_Lope_Gabon	Invertebrate sample from Drosophila teissieri
SRX3029371	SRR5860575	ILLUMINA	GENOMIC	PRJNA395473	7193f3386fc012285a31373393085d39	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860575/SRR5860575.fastq.gz	7d69782844f7819a408d1a767d090537	SJ_1	Invertebrate sample from Drosophila yakuba
SRX3029365	SRR5860581	ILLUMINA	GENOMIC	PRJNA395473	8ed441a8332a2d416cdeb28aad2862ad	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/001/SRR5860581/SRR5860581.fastq.gz	25fa28f18c4c5482705f7d68652e4303	SN_Cascade_22	Invertebrate sample from Drosophila yakuba
